Name,Count_doggos,Count_babies,Per_100k_doggos,Per_100k_babies
GEMMA,18,119,90.98721124197543,35.15177294908605
GENESIS,6,702,30.32907041399181,207.3659210946085
GENEVIEVE,4,107,20.219380275994542,31.607056349178215
GEORGE,94,626,475.1554364858717,184.91604929519218
GEORGIA,22,133,111.20659151796997,39.28727564897853
GERARD,1,10,5.0548450689986355,2.9539304999231977
GIA,30,214,151.64535206995905,63.21411269835643
GIANNA,1,653,5.0548450689986355,192.89166164498482
GIOVANNI,3,524,15.164535206995906,154.78595819597555
GISELLE,4,227,20.219380275994542,67.05422234825659
GIUSEPPE,5,22,25.274225344993177,6.498647099831035
GOLDA,2,84,10.109690137997271,24.813016199354863
GOLDIE,22,35,111.20659151796997,10.338756749731193
GOLDY,2,168,10.109690137997271,49.626032398709725
GORDON,7,35,35.383915482990446,10.338756749731193
GRACE,34,1182,171.8647323459536,349.15458509092196
GRAHAM,7,135,35.383915482990446,39.87806174896317
GRANT,4,102,20.219380275994542,30.130091099216617
GRAYSON,9,288,45.493605620987715,85.07319839778809
GRETA,16,36,80.87752110397817,10.634149799723511
GREYSON,6,105,30.32907041399181,31.016270249193578
GRIFFIN,18,104,90.98721124197543,30.720877199201258
GUSTAVO,6,44,30.32907041399181,12.99729419966207
HADLEY,2,69,10.109690137997271,20.382120449470065
HAILEY,18,1089,90.98721124197543,321.6830314416362
HAILIE,1,10,5.0548450689986355,2.9539304999231977
HALEY,8,42,40.438760551989084,12.406508099677431
HANA,10,119,50.54845068998635,35.15177294908605
HANLEY,1,10,5.0548450689986355,2.9539304999231977
HANNA,3,152,15.164535206995906,44.89974359883261
HANNAH,21,960,106.15174644897134,283.577327992627
HARLEY,134,22,677.3492392458171,6.498647099831035
HARLOW,13,11,65.71298589698226,3.2493235499155175
HARMONY,3,111,15.164535206995906,32.7886285491475
HARPER,38,331,192.08411262194815,97.77509954745784
HARRISON,11,355,55.603295758984984,104.86453274727353
HARRY,58,110,293.18101400192086,32.493235499155176
HARVEY,40,10,202.1938027599454,2.9539304999231977
HAYDEN,3,113,15.164535206995906,33.37941464913214
HAYLEE,2,62,10.109690137997271,18.314369099523827
HAYLEY,5,13,25.274225344993177,3.8401096499001572
HAZEL,94,237,475.1554364858717,70.00815284817979
HEAVEN,3,229,15.164535206995906,67.64500844824123
HECTOR,2,147,10.109690137997271,43.422778348871006
HEIDI,22,52,111.20659151796997,15.360438599600629
HELEN,7,185,35.383915482990446,54.647714248579156
HELENA,2,60,10.109690137997271,17.723582999539186
HENNY,10,121,50.54845068998635,35.74255904907069
HENRY,119,1452,601.5265632108376,428.9107085888483
HERMAN,7,10,35.383915482990446,2.9539304999231977
HERSHEL,1,136,5.0548450689986355,40.17345479895549
HOPE,32,21,161.75504220795634,6.203254049838716
HUDSON,77,475,389.2230703128949,140.3116987463519
HUGO,52,134,262.85194358792904,39.58266869897085
HUNTER,86,622,434.71667593388264,183.7344770952229
IAN,4,1026,20.219380275994542,303.0732692921201
IKER,1,247,5.0548450689986355,72.96208334810298
IMANI,2,156,10.109690137997271,46.08131579880189
INGRID,1,11,5.0548450689986355,3.2493235499155175
IRENE,1,127,5.0548450689986355,37.514917349024614
IRIS,12,232,60.65814082798362,68.5311875982182
ISAAC,4,1564,20.219380275994542,461.9947301879881
ISABEL,2,461,10.109690137997271,136.1761960464594
ISABELLA,26,3243,131.42597179396452,957.959661125093
ISABELLE,7,435,35.383915482990446,128.4959767466591
ISIS,19,37,96.04205631097408,10.929542849715832
ISLA,3,183,15.164535206995906,54.05692814859452
ISRAEL,1,354,5.0548450689986355,104.5691396972812
IVAN,5,642,25.274225344993177,189.6423380950693
IVY,31,278,156.7001971389577,82.1192678978649
IZABELLA,1,113,5.0548450689986355,33.37941464913214
JACE,2,540,10.109690137997271,159.51224699585268
JACK,159,1418,803.720365970783,418.86734488910946
JACKSON,96,708,485.265126623869,209.1382793945624
JACKY,4,47,20.219380275994542,13.88347334963903
JACOB,23,3994,116.26143658696861,1179.7998416693251
JACQUELINE,3,257,15.164535206995906,75.91601384802618
JADA,11,198,55.603295758984984,58.48782389847932
JADE,19,434,96.04205631097408,128.2005836966668
JAIDEN,1,274,5.0548450689986355,80.93769569789562
JAIME,1,43,5.0548450689986355,12.70190114966975
JAKE,111,612,561.0878026588485,180.7805465952997
JAMAL,1,45,5.0548450689986355,13.29268724965439
JAMES,13,2199,65.71298589698226,649.5693169331112
JAMESON,15,14,75.82267603497952,4.135502699892477
JAMIE,10,51,50.54845068998635,15.065045549608309
JANA,2,42,10.109690137997271,12.406508099677431
JANE,14,142,70.76783096598089,41.94581309890941
